col1 col2
1864.79 1.99309968221e-15
1866.16 1.72455117248e-15
1867.53 1.4010965052e-15
1868.9 1.12973705489e-15
1870.27 9.93255561861e-16
1871.64 1.0073777513e-15
1873.01 1.066360445e-15
1874.38 1.05976708361e-15
1875.75 1.03816580385e-15
1877.12 1.09365256358e-15
1878.49 1.2284670287e-15
1879.86 1.40277143041e-15
1881.23 1.59975349885e-15
1882.6 1.74461049996e-15
1883.97 1.77733789044e-15
1885.34 1.75234242918e-15
1886.71 1.74814795302e-15
1888.08 1.85666290148e-15
1889.45 2.07883763175e-15
1890.82 2.27872441704e-15
1892.19 2.39282296709e-15
1893.56 2.39651163758e-15
1894.93 2.25437158195e-15
1896.3 2.0074930241e-15
1897.67 1.72842625251e-15
1899.04 1.4672470518e-15
1900.41 1.26837888584e-15
1901.78 1.10038275125e-15
1903.15 9.27455646732e-16
1904.52 7.97352066897e-16
1905.89 7.21147574566e-16
1907.26 6.83635421725e-16
1908.63 6.69258398702e-16
1910.0 6.66360737926e-16
1911.37 6.66947137287e-16
1912.74 6.59263818841e-16
1914.11 6.48537887448e-16
1915.48 6.50956090761e-16
1916.85 6.63872849447e-16
1918.22 7.05610744388e-16
1919.59 7.89362511046e-16
1920.96 9.34230434093e-16
1922.33 1.13101395328e-15
1923.7 1.31568568588e-15
1925.07 1.42156087146e-15
1926.44 1.38730973275e-15
1927.81 1.20836728452e-15
1929.18 9.3352070235e-16
1930.55 6.69166341484e-16
1931.92 5.02253057322e-16
1933.29 4.7173478131e-16
1934.66 5.48903235825e-16
1936.03 6.99649474392e-16
1937.4 8.74131704054e-16
1938.77 1.014802304e-15
1940.14 1.10149167521e-15
1941.51 1.12311129867e-15
1942.88 1.10301811297e-15
1944.25 1.05336661855e-15
1945.62 9.74828551275e-16
1946.99 8.61970033425e-16
1948.36 7.28971464698e-16
1949.73 6.11115435295e-16
1951.1 5.92114925532e-16
1952.47 7.20225160184e-16
1953.84 9.7460247879e-16
1955.21 1.28010875794e-15
1956.58 1.50688424997e-15
1957.95 1.55749251588e-15
1959.32 1.40638536151e-15
1960.69 1.13059667175e-15
1962.06 8.65106279903e-16
1963.43 6.99271288386e-16
1964.8 6.73851484592e-16
1966.17 7.80796538929e-16
1967.54 9.4886312943e-16
1968.91 1.1046865355e-15
1970.28 1.18498534986e-15
1971.65 1.15907635544e-15
1973.02 1.05602294005e-15
1974.39 9.10950890163e-16
1975.76 7.45812122084e-16
1977.13 6.13107232539e-16
