col1 col2
1713.3 1.83628572619e-16
1714.85 1.51667011363e-16
1716.39 1.25051206216e-16
1717.94 1.03435855357e-16
1719.48 9.03339613567e-17
1721.02 9.29459813755e-17
1722.57 1.13119594894e-16
1724.11 1.50527484803e-16
1725.66 1.97824525669e-16
1727.2 2.44232591777e-16
1728.75 2.76872128968e-16
1730.29 2.86816354833e-16
1731.83 2.80093949134e-16
1733.38 2.64813574476e-16
1734.92 2.42857834626e-16
1736.47 2.1378058265e-16
1738.01 1.8005972665e-16
1739.56 1.44903295568e-16
1741.1 1.15493574644e-16
1742.64 9.89164013402e-17
1744.19 9.96066846535e-17
1745.73 1.12583288632e-16
1747.28 1.23295540729e-16
1748.82 1.27340247583e-16
1750.37 1.27173610952e-16
1751.91 1.28867275932e-16
1753.46 1.41035235867e-16
1755.0 1.60593679675e-16
1756.54 1.76095714602e-16
1758.09 1.820096075e-16
1759.63 1.75697564814e-16
1761.18 1.58005513089e-16
1762.72 1.33820233616e-16
1764.27 1.12346880084e-16
1765.81 1.05973025788e-16
1767.36 1.15320349656e-16
1768.9 1.2848178025e-16
1770.44 1.38452109439e-16
1771.99 1.43533807179e-16
1773.53 1.46592871206e-16
1775.08 1.51446364707e-16
1776.62 1.58412649073e-16
1778.17 1.69075672807e-16
1779.71 1.81539813136e-16
1781.26 1.91679424935e-16
1782.8 1.98347632759e-16
1784.35 2.00602665871e-16
1785.89 1.94668191076e-16
1787.44 1.9127515048e-16
1788.98 1.9597263437e-16
1790.52 2.02896160949e-16
1792.07 2.10470590732e-16
1793.61 2.15062980277e-16
1795.16 2.18457445143e-16
1796.7 2.20431037062e-16
1798.25 2.21320194712e-16
1799.79 2.25138119784e-16
1801.34 2.36644329977e-16
1802.88 2.48562359736e-16
1804.43 2.6171453301e-16
1805.97 2.90590751559e-16
1807.52 3.32661035202e-16
1809.06 3.75036182921e-16
1810.61 4.02046119345e-16
1812.15 4.05624760555e-16
1813.7 3.85507465366e-16
1815.24 3.47163862634e-16
1816.78 3.01992041943e-16
1818.33 2.61886678833e-16
1819.87 2.27831272425e-16
1821.42 1.94660856839e-16
1822.96 1.67124822248e-16
1824.51 1.50544829344e-16
1826.05 1.43008676233e-16
1827.6 1.36449993936e-16
1829.14 1.28311119307e-16
1830.69 1.21909525728e-16
1832.23 1.21834116263e-16
